County,Crop,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
00 Riket,Höstvete,295090,317400,322990,311470,326330,330760,349500,283440,208890,379450,394450,374380,407570,292530,422160,401170,436330,417760
,Vårvete,59030,42750,37530,49070,47710,66370,65560,82930,114440,74030,63100,74770,64300,79970,47330,48000,42800,43810
,Råg,21300,23140,24660,27510,36620,24140,23920,22010,25020,26910,23530,16600,21310,19580,32750,30570,25320,20760
,Höstkorn,5360,5660,8270,10350,18160,17530,14180,9130,13580,13350,15560,19090,19180,14450,20540,20420,22590,21170
,Vårkorn,366220,301270,312650,389010,343590,292760,308840,359900,374140,315740,303270,299830,290100,346360,271220,272240,247910,253630
,Havre,192740,196720,203470,222530,186110,158260,175560,191310,195010,159570,161420,173340,150580,141270,141130,178120,166750,153760
,Rågvete,50120,54800,53550,48900,53190,35910,24020,23710,22910,38170,.,.,.,.,.,.,29710,28640
,Höstrågvete,..,..,..,.,.,.,.,.,.,.,38530,27500,25170,15970,27140,26530,28180,26930
,Vårrågvete,..,..,..,.,.,.,.,.,.,.,3450,2650,1780,1130,850,1280,1530,1710
,Blandsäd,23420,20100,18700,18890,19450,22980,22720,17910,19150,15470,14670,14810,11920,9740,12310,13160,10190,12170
,Majs,..,..,1570,950,1290,1340,2090,2360,1270,950,1330,1710,1190,1110,1620,1850,1740,1770
,Spannmål totalt,..,..,..,..,.,.,.,.,.,.,.,.,.,922100,977050,993340,983340,953470
,Ärter,24160,19320,13340,10710,16300,22600,15890,12850,12210,14450,22390,25170,23860,21670,20490,21890,22040,23810
,Åkerbönor,6430,6120,5360,6280,7970,13050,15920,17930,17460,18840,25010,29540,30490,26290,18190,19640,20240,22160
,Höstraps,34970,47630,50330,61850,67800,71820,56590,61780,71560,79600,88160,83390,105480,86590,99580,92140,96990,110400
,Vårraps,38510,34990,32980,34330,29220,35680,36110,45320,50860,14320,4500,7420,6630,9000,3570,4160,6510,14530
,Höstrybs,1460,1130,1120,830,280,490,400,810,320,790,870,970,980,710,1130,950,1170,460
,Vårrybs,7080,6210,3300,2450,2140,2210,1710,2060,2740,1280,980,1090,1150,1150,1100,950,1280,1990
,Stråsädesgrödor (exkl. majs) till grönfoder,..,..,..,..,.,.,36870,37360,36660,41380,40570,40080,45610,98910,46630,40300,44580,32210
,Majs till grönfoder,..,..,..,..,.,.,13740,14120,14630,15670,15650,15740,16800,17290,20390,19720,19220,20470
