County,Crop,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
00 Riket,Höstvete,1957000,1795200,2087800,2004600,2060100,1873100,1965800,1933800,1319000,2750800,2984800,2502100,3000000,1399900,3262800,2990200,2877700,3018000
,Vårvete,289800,172200,167900,197600,217800,269900,260900,355500,549600,335600,315600,339500,298600,220400,214000,224100,150100,210700
,Råg,112300,115400,137600,168800,218400,117600,126500,139900,142000,173600,149200,101600,141800,88200,221300,189600,144500,129200
,Höstkorn,31000,26900,44000,58400,101100,81200,65200,60300,78100,85800,96100,110300,123100,54500,140400,133600,125800,130200
,Vårkorn,1561900,1083700,1395000,1613200,1579800,1151100,1343900,1641400,1862000,1488400,1576200,1427600,1512100,1039900,1406100,1379900,934600,1379300
,Havre,746300,624400,889800,820000,744200,559300,692000,731200,851500,665900,744700,771500,676400,363500,671200,807600,551200,734800
,Rågvete,271500,255900,276100,274100,252700,158700,107200,140400,111700,226400,.,.,.,.,.,.,153400,162500
,Höstrågvete,..,..,..,.,.,.,.,.,.,.,231300,148700,150300,64200,174800,162200,148600,154800
,Vårrågvete,..,..,..,.,.,.,.,.,.,.,12500,10000,6200,2700,3500,4900,4700,7700
,Blandsäd,80800,54700,59400,58300,67800,68600,68900,53400,71300,48900,52000,55400,41100,22200,42300,49900,28200,46300
,Majs,..,..,..,..,..,..,16000,14600,7400,7100,6400,13800,8800,4600,11300,12500,14900,12200
,Spannmål totalt,..,..,..,..,.,.,.,.,.,.,.,.,.,3260100,6147700,5954500,4980300,5823200
,Ärter,65400,50800,38000,29100,48900,54000,42800,35100,40800,46500,83100,92700,82200,48900,69300,72800,55900,86000
,Åkerbönor,14900,13000,11300,13700,26100,31100,53000,58200,61300,61100,99100,103900,109400,34800,60200,58400,48800,78600
,Höstraps,113100,151700,153100,206300,240300,222100,173500,228800,231400,296600,347300,250200,361300,202700,372800,327700,328100,387600
,Vårraps,72700,59700,63000,48200,54900,54100,74000,89000,96100,26100,9200,15500,13000,13200,6200,9000,12500,36900
,Höstrybs,2700,1700,1900,1400,..,900,..,1300,..,1300,1600,1500,1400,600,1400,1600,1600,500
,Vårrybs,9700,7300,4400,3500,2800,2500,2300,2800,3700,1400,1200,1300,1600,1200,1100,1000,1300,2500
,Stråsädesgrödor (exkl. majs) till grönfoder,..,..,..,..,.,.,100900,109100,131100,150700,147700,149300,173000,189500,167100,141700,128400,113000
,Majs till grönfoder,..,..,..,..,.,.,125900,138100,163600,179400,165900,191600,188300,135800,235900,218100,244600,220600
,Andra ettåriga grödor till grönfoder,..,..,..,..,.,.,43100,39800,60200,80100,98300,85300,112800,67100,123400,133500,117400,106400
,Oljelin,15700,11900,6700,5400,18900,23600,23000,12400,9600,11000,13900,16800,7800,4000,4300,3600,5500,8700
,Matpotatis,622700,525300,534700,558200,568500,542900,584000,549400,551700,551600,525200,551500,527000,449100,537000,536600,457400,499900
,Potatis för stärkelse,324600,252500,254300,295000,289400,273400,298000,256000,254400,270500,277300,309800,325500,273900,309900,340600,368600,352300
,Sockerbetor,2381200,2189000,2137700,1974900,2405800,1976200,2493200,2314200,2326200,2517800,1178300,1988000,1963500,1698400,2028900,2027100,2046600,1871400
,"Slåttervall, första skörd",2233100,2024900,2271900,1942300,2460200,3082800,2342800,2609600,2377700,2567000,2760400,2367900,2443600,1920500,2831700,2460900,2598100,2576300
,"Slåttervall, återväxt",1019500,1008300,1197000,1494300,1564500,1948800,1520700,1357900,1407000,1795800,1733700,1584700,1630500,1365900,1683500,1806100,1705500,1465200
,"Slåttervall, total vallskörd",3252700,3033200,3468800,3436600,4024700,5031600,3863500,3967500,3784600,4362800,4494100,3952600,4074100,3286400,4515200,4267000,4303600,4041500
01 Stockholms län,Höstvete,75300,71100,76600,75600,64000,50900,51500,82300,19900,95300,97100,73800,94300,44900,100500,108400,91600,105400
,Vårvete,6700,..,..,3300,4700,5800,5200,4800,15400,7500,6100,6400,4500,2600,..,..,..,..
,Råg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Höstkorn,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårkorn,36600,24200,32000,38800,41600,26100,30200,36800,46700,40000,38300,42700,39300,21700,29900,32400,16400,27800
,Havre,21300,18800,22000,16600,16800,11300,12700,14300,18700,15500,14000,11500,10300,2500,8800,17000,9200,11500
,Rågvete,..,4000,7800,6900,5500,..,..,..,..,..,.,.,.,.,.,.,..,..
,Höstrågvete,..,..,..,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..
