,Time,Municipality,Impact variable,Hazard variable,Impact value,Hazard value,Trend,Observed anomalies,Predicted anomalies,Aggregation,Best_Degree
0,2005,Alingsås,hydro_prod,SPEI12,6898.0,0.8177641919673161,Linear,-19.65274253699569,0.012614394702842258,1,1
1,2006,Alingsås,hydro_prod,SPEI12,8452.0,-0.2239108987451334,Linear,-1.3143961661248105,-0.14159898758121992,1,1
2,2007,Alingsås,hydro_prod,SPEI12,7322.0,1.5195982394976648,Linear,-14.301540808890692,0.11651646861894535,1,1
3,2008,Alingsås,hydro_prod,SPEI12,11319.0,1.3857623804229915,Linear,32.80146422383971,0.09670291957393334,1,1
4,2009,Alingsås,hydro_prod,SPEI12,6554.0,1.706467431895291,Linear,-22.91758598921878,0.14418126588756328,1,1
5,2010,Alingsås,hydro_prod,SPEI12,8112.0,0.4052816890253871,Linear,-4.361348682075874,-0.048451020491222206,1,1
6,2011,Alingsås,hydro_prod,SPEI12,10068.0,0.4548045690917208,Linear,18.989301780627184,-0.04111947258000746,1,1
7,2012,Alingsås,hydro_prod,SPEI12,9663.4,1.5522711038844832,Linear,14.487076042491918,0.12135347871059843,1,1
8,2013,Alingsås,hydro_prod,SPEI12,9258.8,1.7158271795096416,Linear,9.962754482607258,0.14556691708514255,1,1
9,2014,Alingsås,hydro_prod,SPEI12,8854.2,-0.8908482292347868,Linear,5.416174039514336,-0.24033482414228094,1,1
10,2015,Alingsås,hydro_prod,SPEI12,8449.6,1.225932547664956,Linear,0.8471700433290377,0.07304112779329777,1,1
11,2016,Alingsås,hydro_prod,SPEI12,8045.0,1.22758006192574,Linear,-3.7444238041382847,0.0732850318174815,1,1
12,2017,Alingsås,hydro_prod,SPEI12,8010.0,-0.3614613054375286,Linear,-3.9256833871233536,-0.1619624518127344,1,1
13,2018,Alingsås,hydro_prod,SPEI12,8243.0,0.8959275076596273,Linear,-0.885386179016531,0.024185977234593176,1,1
14,2019,Alingsås,hydro_prod,SPEI12,8476.0,-1.2407905469073846,Linear,2.1700550326908816,-0.2921415620529526,1,1
15,2020,Alingsås,hydro_prod,SPEI12,8709.0,1.0891708436208816,Linear,5.240753681047837,0.052794425980409176,1,1
16,2021,Alingsås,hydro_prod,SPEI12,8511.0,1.2319565733803512,Linear,3.1055247051551658,0.07393294654640042,1,1
