,Time,Municipality,Impact variable,Hazard variable,Impact value,Hazard value,Trend,Observed anomalies,Predicted anomalies,Aggregation,Best_Degree
0,2005,Alingsås,discharge,SPEI12,14.305785123966942,0.8177641919673161,Linear,-13.631166262306662,3.157791466828252,1,4
1,2006,Alingsås,discharge,SPEI12,18.257534246575343,-0.2239108987451334,Linear,11.354973951643611,2.2086318814480794,1,4
2,2007,Alingsås,discharge,SPEI12,19.56712328767124,1.5195982394976648,Linear,20.5763431885932,-1.4276423617084786,1,4
3,2008,Alingsås,discharge,SPEI12,21.601092896174865,1.3857623804229915,Linear,34.50081603045801,2.3079044344074724,1,4
4,2009,Alingsås,discharge,SPEI12,11.081554246575342,1.706467431895291,Linear,-30.271334834346312,-10.835583817800527,1,4
5,2010,Alingsås,discharge,SPEI12,10.401378082191782,0.4052816890253871,Linear,-33.85280128924412,0.19133382458963943,1,4
6,2011,Alingsås,discharge,SPEI12,17.265753424657536,0.4548045690917208,Linear,10.985301340149771,0.4189087182902751,1,4
7,2012,Alingsås,discharge,SPEI12,18.44204426229508,1.5522711038844832,Linear,19.83919396139333,-2.6846523790830332,1,4
8,2013,Alingsås,discharge,SPEI12,9.16997808219178,1.7158271795096416,Linear,-39.755189326522526,-11.461727563958664,1,4
9,2014,Alingsås,discharge,SPEI12,18.36986301369863,-0.8908482292347868,Linear,22.03139467058922,3.0370412615426936,1,4
10,2015,Alingsås,discharge,SPEI12,15.865753424657534,1.225932547664956,Linear,6.584643135820204,4.380366211200493,1,4
11,2016,Alingsås,discharge,SPEI12,13.60656393442623,1.22758006192574,Linear,-7.550222476000032,4.369542278991366,1,4
12,2017,Alingsås,discharge,SPEI12,12.167123287671233,-0.3614613054375286,Linear,-16.377097464315675,3.3986539502838555,1,4
13,2018,Alingsås,discharge,SPEI12,11.624657534246577,0.8959275076596273,Linear,-19.17323667186871,3.7703452025625426,1,4
14,2019,Alingsås,discharge,SPEI12,13.257534246575345,-1.2407905469073846,Linear,-6.731585894106057,-10.773126039256452,1,4
15,2020,Alingsås,discharge,SPEI12,18.69672131147541,1.0891708436208816,Linear,33.10507964004362,4.694740771962188,1,4
16,2021,Alingsås,discharge,SPEI12,16.154794520547945,1.2319565733803512,Linear,16.399183826327647,4.3398587443603045,1,4
17,2022,Alingsås,discharge,SPEI12,12.635989010989013,0.5654713866314893,Linear,-7.840407204047732,1.1015017376081013,1,4
18,2005,Alvesta,discharge,SPEI12,1.367362191780822,1.6813320768929636,Linear,-22.81016309449933,0.6694517758916558,1,1
19,2006,Alvesta,discharge,SPEI12,1.7894661643835617,-0.5896322239319428,Linear,3.330009421497668,-0.4526834175607928,1,1
20,2007,Alvesta,discharge,SPEI12,2.184502328767123,0.72484344379512,Linear,29.09499449422624,0.19682895353093124,1,1
